timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603123517054,8267,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-17,text,true,,127024,133,7,27,https://pokeapi.co/api/v2/pokemon/buizel,3122,0,2434
1603123517516,7818,HTTP Request - GET Torterra,200,OK,Ult. Thread Group - Torterra 1-11,text,true,,133226,135,1,26,https://pokeapi.co/api/v2/pokemon/torterra,2138,0,1326
1603123519990,5353,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-21,text,true,,127024,133,6,25,https://pokeapi.co/api/v2/pokemon/buizel,4053,0,3241
1603123519013,6377,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-13,text,true,,127024,133,5,24,https://pokeapi.co/api/v2/pokemon/buizel,3068,0,2364
1603123516747,8664,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-14,text,true,,127024,133,4,23,https://pokeapi.co/api/v2/pokemon/buizel,5353,0,4653
1603123524952,556,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-13,text,true,,1207,141,14,22,https://pokeapi.co/api/v2/pokemon/673/encounters,556,0,0
1603123522893,2732,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-2,text,true,,60329,133,14,22,https://pokeapi.co/api/v2/pokemon/gogoat,2081,0,1475
1603123520787,4907,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-6,text,true,,60329,133,14,22,https://pokeapi.co/api/v2/pokemon/gogoat,3721,0,3044
1603123523390,2568,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-4,text,true,,60329,133,15,24,https://pokeapi.co/api/v2/pokemon/gogoat,2003,0,1513
1603123516707,9371,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-1,text,true,,246042,136,6,24,https://pokeapi.co/api/v2/pokemon/charizard,2213,0,1563
1603123525626,571,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-2,text,true,,1208,141,15,24,https://pokeapi.co/api/v2/pokemon/673/encounters,571,0,0
1603123519787,6461,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-14,text,true,,60329,133,15,24,https://pokeapi.co/api/v2/pokemon/gogoat,4216,0,3439
1603123525695,589,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-6,text,true,,1208,141,15,24,https://pokeapi.co/api/v2/pokemon/673/encounters,589,0,0
